type	AUC	LogCo
MSC	0.700521765056649	8.9
MSC	0.69379099582588	9
MSC	0.696582438878951	9.1
MSC	0.692922629695885	9.2
MSC	0.687414281454979	9.3
MSC	0.688524895646989	9.4
MSC	0.691448643410853	9.5
MSC	0.694217725104353	9.6
MSC	0.692894677996422	9.7
MSC	0.695963774597496	9.8
MSC	0.699187537268933	9.9
MSC	0.702513789505069	10
NPC	0.743044959486478	-2
NPC	0.74313539145533	-1.9
NPC	0.743215958118489	-1.8
NPC	0.743296524781648	-1.7
NPC	0.743428062190887	-1.6
NPC	0.743557955382511	-1.5
NPC	0.743712511838367	-1.4
NPC	0.743850626118068	-1.3
NPC	0.744016692097232	-1.2
NPC	0.744213998211091	-1.1
NPC	0.744417881195412	-1
NPC	0.744598745133116	-0.9
NPC	0.744814137640745	-0.8
NPC	0.745105164158687	-0.7
NPC	0.74535179680101	-0.6
NPC	0.74557047774387	-0.5
NPC	0.745897677049353	-0.4
NPC	0.746249539619068	-0.3
NPC	0.746571806271704	-0.2
NPC	0.74694504367042	-0.1
NPC	0.747388982426602	0
NPC	0.747786883089551	0.1
NPC	0.748336051773124	0.2
NPC	0.74899373881932	0.3
NPC	0.749618541513206	0.4
NPC	0.750348574134484	0.5
NPC	0.751119712196149	0.6
NPC	0.751853033252657	0.7
NPC	0.75273433389456	0.8
NPC	0.753599192360307	0.9
NPC	0.754482137219825	1
NPC	0.755412764390193	1.1
NPC	0.756381208565716	1.2
NPC	0.757461459539093	1.3
NPC	0.758673247921709	1.4
NPC	0.759812690729243	1.5
NPC	0.760922537619699	1.6
NPC	0.762218181100705	1.7
NPC	0.763497382405556	1.8
NPC	0.764978822477112	1.9
NPC	0.766210341471114	2
NPC	0.76788908765653	2.1
NPC	0.769498776702094	2.2
NPC	0.771302483426286	2.3
NPC	0.77337913027465	2.4
NPC	0.775510036304325	2.5
NPC	0.777828383142166	2.6
NPC	0.780186191202778	2.7
NPC	0.782752814900558	2.8
NPC	0.785398361043881	2.9
NPC	0.787991292223508	3
NPC	0.790661501631064	3.1
NPC	0.793362951173314	3.2
NPC	0.795679653793539	3.3
NPC	0.797802338735136	3.4
NPC	0.799938177417658	3.5
NPC	0.801796143323161	3.6
NPC	0.803169065032095	3.7
NPC	0.804487727559718	3.8
NPC	0.805957658107966	3.9
NPC	0.807567347153531	4
NPC	0.808456868883511	4.1
NPC	0.809563427338735	4.2
NPC	0.810891955172051	4.3
NPC	0.812159646953594	4.4
NPC	0.813396098600442	4.5
NPC	0.813501328527833	4.6
NPC	0.801449213406293	4.7
NPC	0.799617554982637	4.8
NPC	0.795092668104809	4.9
NPC	0.785914645375145	5
NPC	0.779985596653688	5.1
NPC	0.784073121645796	5.2
NPC	0.780390074187099	5.3
NPC	0.771634615384615	5.4
NPC	0.766466839419131	5.5
NPC	0.761669012417131	5.6
NPC	0.765925891823635	5.7
NPC	0.767336630537725	5.8
NPC	0.769669775334105	5.9
NPC	0.773957894875303	6
NPC	0.776243357360833	6.1
NPC	0.775986859412817	6.2
NPC	0.773591234347048	6.3
NPC	0.775130222035147	6.4
NPC	0.766965037356624	6.5
NPC	0.767313611491108	6.6
NPC	0.763383931390087	6.7
NPC	0.748023650426181	6.8
NPC	0.750578764600652	6.9
NPC	0.741602980637693	7
NPC	0.723876670525097	7.1
NPC	0.72609965274124	7.2
NPC	0.723256800484058	7.3
NPC	0.724175918131116	7.4
NPC	0.719904240766074	7.5
NPC	0.709170788172156	7.6
NPC	0.705361135957066	7.7
NPC	0.707279937914343	7.8
NPC	0.703784331263811	7.9
NPC	0.696105834999474	8
NPC	0.678892520782911	8.1
NPC	0.650518257392402	8.2
NPC	0.65255708723561	8.3
NPC	0.640560875512996	8.4
NPC	0.626266047563927	8.5
NPC	0.598266665789751	8.6
NPC	0.590762456592655	8.7
NPC	0.586397058823529	8.8
NPC	0.588772953277912	8.9
NPC	0.591124184468063	9
NPC	0.590144230769231	9.1
NPC	0.591597719141324	9.2
NPC	0.59442084078712	9.3
NPC	0.593463906134905	9.4
NPC	0.594659252341366	9.5
NPC	0.597853967168263	9.6
NPC	0.596781937282963	9.7
NPC	0.600364687467116	9.8
